"A",3.51,3.54,2.30,14.72B,1.66,45.91,45.91
"ACO",N/A,N/A,0,N/A,0,N/A,19
"AA",0.77,0.58,-0.47,5.36B,1.14,29.40,27.53
"ACOM",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AAN",1.61,0.72,1.22,2.38B,6.00,32.78,25.19
"ACOR",1.39,1.82,3.85,862.67M,7.32,20.10,23.31
"AAON",8.43,4.43,2.67,1.73B,11.24,32.70,28.76
"ACPW",N/A,N/A,0.00,N/A,0.00,0.21,0.35
"AAP",4.43,1.33,2.46,12.80B,3.88,171.91,156.98
"ACTG",1.34,2.17,0.53,358.29M,2.25,7.25,5.87
"AAPL",4.83,2.87,1.48,621.96B,1.73,115.97,107.06
"ACTV",N/A,N/A,0,N/A,0,N/A,0
"AAT",2.45,6.81,18.98,1.97B,1.89,42.59,42.30
"ACUR",N/A,3.15,0.00,10.06M,1.30,0.90,1.56
"AATI",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ACW",N/A,N/A,0.00,N/A,0.00,2.58,2.01
"AAWW",0.86,0.71,1.17,1.26B,4.45,50.75,42.54
"ACXM",2.93,2.37,2.97,2.09B,8.55,26.81,24.64
"ABAX",4.73,5.30,2.69,1.17B,17.96,53.13,49.94
"ADBE",6.91,8.77,0.89,52.19B,1.52,103.55,101.96
"ABBC",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ADC",1.84,12.37,-27.39,1.09B,2.15,44.62,46.93
"ABC",8.00,0.12,1.48,17.26B,3.99,77.38,81.19
"ADI",4.30,6.49,3.23,22.44B,4.64,72.09,63.11
"ABCB",2.45,5.05,2.66,1.51B,4.23,45.15,35.42
"ADM",1.53,0.43,2.58,26.51B,2.14,46.51,43.40
"ABCD",N/A,1.49,0.00,228.88M,4.57,4.90,4.93
"ADP",10.75,3.83,2.40,45.61B,3.09,100.85,90.62
"ABCO",2.77,1.62,1.12,1.31B,4.18,32.45,38.68
"ADPI",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ABD",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ADS",7.41,1.87,1.11,13.34B,5.60,228.83,213.57
"ABFS",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ADSK",16.05,7.74,-5.67,16.85B,3.58,76.48,65.91
"ABG",5.41,0.21,0.77,1.41B,6.98,62.45,55.72
"ADTN",2.30,1.79,14.77,1.11B,3.68,22.70,18.99
"ABM",2.31,0.44,4.27,2.26B,4.40,40.05,38.68
"ADVS",N/A,N/A,0.00,N/A,0.00,N/A,41.95
"ABMD",12.72,13.14,3.78,5.04B,3.75,117.54,115.65
"AEA",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ABT",2.70,2.71,1.85,56.45B,9.05,38.10,40.99
"AEC",N/A,N/A,0,N/A,0,N/A,27
"ABVT",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AEE",1.74,2.15,3.39,12.59B,4.11,51.60,50.29
"ACAS",0.82,6.53,2.58,3.75B,1.77,17.45,16.68
"AEGR",N/A,N/A,0.00,N/A,N/A,N/A,N/A
"ACAT",1.48,0.39,-0.70,230.54M,14.37,16.76,15.62
"AEIS",5.97,4.87,0.40,2.16B,2.66,53.37,44.80
"ACC",1.85,8.16,3.40,6.46B,2.71,48.49,49.66
"AEL",0.69,0.91,1.63,1.95B,2.16,22.47,17.51
"ACCL",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AEO",2.54,0.82,1.06,2.95B,5.93,16.35,17.32
"ACE",N/A,N/A,0,N/A,0,N/A,109
"AEP",1.78,1.91,8.67,30.95B,1.77,62.81,64.95
"ACET",2.03,1.14,0.71,642.19M,6.60,20.89,21.30
"AEPI",5.36,0.56,0.00,611.26M,1.12,119.85,97.87
"ACGL",1.60,2.40,2.28,10.53B,5.15,86.83,77.07
"AES",2.69,0.55,4.01,7.80B,1.75,11.75,12.03
"ACHN",1.42,18.08,-0.38,560.39M,3.03,4.18,7.42
"AET",2.43,0.71,1.33,43.55B,2.38,126.81,118.30
"ACI",N/A,N/A,0,N/A,0,N/A,3
"AF",1.15,4.56,5.64,1.81B,3.35,18.00,15.23
"ACIW",3.05,2.18,-2.95,2.19B,12.96,18.07,19.18
"AFAM",1.49,0.72,1.51,447.02M,3.01,43.80,40.03
"ACLS",2.03,1.50,2.39,412.62M,5.58,13.70,12.21
"AFCE",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ACM",1.73,0.34,1.61,5.84B,2.40,37.92,32.30
"AFFX",N/A,N/A,0.00,N/A,0.00,14.01,0.00
"ACN",10.10,2.32,1.98,76.70B,5.93,123.00,116.24
"AFFY",0.478,58.914,0.000,2.47M,2.350,0.066,0.074
"AFG",1.45,1.20,1.89,7.56B,1.78,86.45,75.49
"ALEX",1.78,4.57,2.27,2.18B,7.74,43.95,39.58
"AFL",1.24,1.28,1.39,28.48B,4.55,69.41,71.37
"ALG",2.11,0.95,3.06,839.77M,2.00,71.50,66.31
"AFP",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ALGN",8.31,7.93,1.77,7.99B,2.97,101.14,89.20
"AFSI",1.84,0.90,0.82,4.78B,8.04,28.08,25.92
"ALGT",6.22,2.06,4.15,2.74B,4.26,167.80,144.41
"AGCO",1.61,0.64,13.60,4.67B,10.49,58.23,50.64
"ALIM",N/A,2.38,0.00,71.35M,2.88,1.08,1.43
"AGII",1.10,1.31,2.25,1.96B,1.43,65.65,56.44
"ALJ",1.51,0.23,0.23,817.30M,4.46,11.61,7.96
"AGL",N/A,N/A,0,N/A,0,N/A,27
"ALK",3.82,1.89,-20.88,11.14B,8.26,88.73,69.42
"AGM",1.51,4.14,1.44,595.22M,1.89,56.99,41.60
"ALKS",7.09,12.35,10.13,8.51B,5.19,56.51,48.97
"AGN",0.87,4.33,1.22,72.22B,5.63,192.81,229.54
"ALL",1.42,0.76,1.47,27.39B,1.24,74.11,68.94
"AGNC",N/A,N/A,0.00,N/A,0.00,17.87,0.00
"ALNC",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AGO",0.77,2.90,3.05,5.02B,3.25,38.86,29.02
"ALNY",3.75,102.24,-0.20,3.73B,5.82,44.39,58.24
"AGP",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ALOG",1.96,2.03,1.58,1.05B,14.85,84.05,85.95
"AGX",4.00,1.82,0.00,1.13B,1.34,69.65,51.92
"ALR",2.36,1.42,1.99,3.43B,2.72,39.00,40.93
"AGYS",1.95,1.84,-1.54,237.37M,16.89,10.29,10.66
"ALSK",0.53,0.36,-1.63,82.17M,0.45,1.60,1.67
"AH",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ALTE",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AHC",1.27,0.53,0.00,137.64M,0.66,6.50,6.01
"ALTH",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AHL",1.04,1.08,-12.49,3.31B,1.04,53.40,47.49
"ALTR",N/A,N/A,0.00,N/A,0.00,N/A,51.16
"AHS",N/A,N/A,0.00,N/A,0.00,33.02,37.00
"ALV",2.55,0.96,2.23,9.59B,10.07,108.75,106.88
"AHT",0.97,0.48,0.27,735.76M,3.78,7.47,6.14
"ALX",6.19,9.92,0.00,2.21B,3.32,432.48,411.11
"AI",0.81,7.22,-0.23,364.83M,5.39,15.26,14.55
"ALXN",3.16,9.11,1.46,25.68B,1.23,120.04,126.80
"AIG",0.78,1.28,0.98,68.35B,2.28,66.30,58.64
"AM",4.31,8.94,0.82,5.13B,1.43,28.00,27.10
"AIMC",3.79,1.35,1.65,983.59M,15.65,37.05,29.78
"AMAG",1.27,2.43,-3.37,1.16B,6.07,34.75,26.18
"AIN",2.85,1.99,1.80,1.51B,3.58,46.25,42.29
"AMAT",4.86,3.23,0.87,34.92B,1.29,32.51,28.06
"AINV",N/A,N/A,3.11,N/A,0.00,6.00,5.83
"AMCC",6.54,4.48,19.78,730.53M,2.20,8.55,7.06
"AIQ",N/A,0.202,0.000,101.31M,2.770,9.550,6.905
"AMD",25.62,2.40,0.72,10.15B,1.76,10.66,6.68
"AIR",1.46,0.75,1.37,1.27B,4.74,37.02,28.54
"AME",3.37,2.95,2.09,11.37B,1.51,49.18,47.31
"AIRM",2.16,1.03,0.67,1.18B,13.38,32.70,33.01
"AMED",3.23,1.03,1.09,1.45B,8.01,42.85,47.18
"AIS",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AMG",2.56,3.64,0.93,8.02B,1.50,148.49,146.21
"AIT",3.46,0.94,2.01,2.39B,2.58,60.40,48.97
"AMGN",3.62,4.93,1.73,109.91B,1.45,149.37,159.62
"AIV",4.45,7.16,3.27,6.99B,2.44,44.17,43.58
"AMKR",1.93,0.72,1.21,2.58B,2.74,10.73,8.69
"AIZ",1.18,0.63,2.51,5.27B,3.27,91.34,86.65
"AMLN",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AJG",2.49,1.67,1.91,9.19B,3.01,51.55,49.25
"AMN",4.23,1.01,1.34,1.87B,6.53,38.15,36.41
"AKAM",3.68,5.06,1.72,11.74B,3.35,67.19,57.25
"AMP",2.61,1.50,1.53,17.61B,1.49,111.73,99.89
"AKR",1.76,12.20,12.38,2.65B,8.19,32.50,35.03
"AMPE",5.48,46.09,0.00,54.32M,27.46,0.94,1.28
"AKRX",3.23,2.35,1.31,2.64B,5.36,20.92,27.20
"AMR",N/A,N/A,0,N/A,0,N/A,1
"AKS",N/A,0.41,6.61,2.45B,2.07,10.38,5.79
"AMRC",0.98,0.44,4.03,284.26M,4.67,6.20,5.11
"AL",1.10,2.62,0.68,3.63B,6.97,35.10,29.89
"AMRI",2.23,1.49,1.50,744.88M,20.60,18.12,15.45
"ALB",3.04,2.84,2.72,10.01B,2.81,89.23,82.65
"AMRS",N/A,3.2377,-0.1000,191.58M,1.6200,0.6746,0.5921
"ALC",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AMSC",1.64,1.29,-0.10,110.33M,22.57,7.71,7.79
"ALCO",1.36,1.63,0.00,238.07M,26.61,28.30,28.26
"AMSF",2.29,2.92,1.55,1.17B,5.44,61.15,60.14
"ALE",1.70,2.31,4.13,3.16B,4.30,64.40,61.17
"AMSG",N/A,N/A,0.00,N/A,0.00,67.75,69.95
"AMSWA",3.35,2.87,3.03,317.87M,4.51,10.75,10.67
"ARCL",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AMT",6.71,8.15,1.53,45.53B,2.43,105.80,111.35
"ARDNA",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AMTD",4.57,7.06,2.04,23.06B,2.41,43.93,33.58
"ARE",2.29,9.57,-791.00,8.71B,14.71,107.97,106.45
"AMWD",3.98,1.28,2.29,1.24B,4.02,77.15,75.97
"AREX",0.27,1.75,-0.98,158.12M,7.05,3.76,2.77
"AMZN",20.24,2.81,4.22,363.98B,1.25,757.77,765.62
"ARG",N/A,N/A,0.00,N/A,0.00,142.95,142.95
"AN",2.19,0.23,1.41,4.91B,5.39,47.96,47.81
"ARGN",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ANAC",N/A,N/A,0.00,N/A,0.00,N/A,81.52
"ARI",0.78,7.74,1.63,1.38B,4.95,16.79,16.54
"ANAD",N/A,N/A,0.00,N/A,0.00,N/A,0.47
"ARIA",N/A,12.98,12.24,2.36B,4.48,12.45,10.46
"ANAT",0.73,1.06,0.00,3.43B,1.03,127.47,117.79
"ARII",1.61,1.20,2.03,917.32M,21.88,45.38,40.85
"ANDE",1.57,0.30,7.72,1.23B,3.00,42.45,36.71
"ARJ",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ANEN",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ARNA",104.29,7.66,0.22,343.07M,6.82,1.46,1.66
"ANF",0.74,0.26,-80.67,883.82M,4.14,13.31,17.67
"ARO",N/A,N/A,0.00,N/A,0.00,0.15,0.39
"ANGO",1.20,1.72,1.43,614.64M,3.59,16.75,15.91
"AROW",2.31,5.52,2.97,542.05M,10.06,39.50,32.79
"ANH",0.83,9.29,363.55,511.11M,2.50,5.22,4.90
"ARQL",3.07,14.63,-0.79,90.32M,5.88,1.30,1.56
"ANN",N/A,N/A,0,N/A,0,N/A,42
"ARR",0.73,77.08,-0.44,786.03M,3.56,20.51,21.62
"ANR",N/A,N/A,0.0000,N/A,0.0000,0.2606,0.8655
"ARRS",1.94,0.95,0.56,5.91B,3.73,30.88,26.87
"ANSS",3.69,8.49,3.46,8.25B,3.41,95.11,91.90
"ARRY",N/A,46.20,-1.13,1.47B,3.20,8.75,5.06
"ANTH",10.56,38.64,0.00,82.23M,6.14,1.90,2.84
"ART",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ANV",N/A,N/A,0,N/A,0,N/A,2
"ARTC",N/A,N/A,0,N/A,0,N/A,3
"AOI",0.74,0.09,0.00,162.73M,6.70,18.50,17.70
"ARTNA",2.17,3.76,5.87,297.42M,3.84,32.32,30.35
"AOL",N/A,N/A,0,N/A,0,N/A,44
"ARUN",N/A,N/A,0.00,N/A,0.00,N/A,21.14
"AON",5.44,2.55,2.10,29.55B,1.80,112.09,110.26
"ARW",1.45,0.27,1.61,6.45B,3.72,71.78,64.91
"AONE",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ARX",N/A,N/A,0,N/A,0,N/A,1
"AOS",5.53,3.21,2.30,8.46B,4.10,48.51,46.54
"ASBC",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AOSL",2.06,1.48,-22.73,526.00M,1.48,22.32,18.66
"ASCA",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AP",1.06,0.71,0.00,221.47M,6.78,17.00,12.48
"ASCMA",0.91,0.37,-0.16,216.24M,4.17,17.49,19.65
"APA",3.89,5.12,6.04,25.31B,5.93,66.39,57.79
"ASEI",N/A,N/A,0.00,N/A,0.00,N/A,32.11
"APAC",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ASGN",2.73,0.98,1.28,2.35B,2.94,44.20,37.91
"APAGF",N/A,N/A,0,N/A,0,N/A,14
"ASH",2.04,1.38,5.38,6.85B,3.52,110.10,115.09
"APC",3.09,4.99,-2.74,39.89B,2.21,70.61,58.53
"ASI",N/A,N/A,0,N/A,0,N/A,0
"APD",4.53,3.36,-25.60,32.11B,1.91,147.43,137.75
"ASNA",0.72,0.19,0.61,1.36B,4.38,7.10,6.89
"APEI",1.66,1.33,-7.58,423.30M,8.95,26.50,23.82
"ASTE",2.24,1.39,2.64,1.47B,1.87,62.64,58.96
"APH",5.61,3.43,2.97,20.98B,4.50,67.40,62.54
"ASYS",0.83,0.46,-0.51,56.80M,3.13,4.20,5.34
"APKT",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AT",3.76,0.76,-0.19,294.87M,3.84,2.65,2.48
"APOG",3.19,1.36,1.74,1.44B,20.88,50.00,45.74
"ATEC",N/A,N/A,0.00,N/A,0.00,4.02,4.94
"APOL",0.98,0.50,-1.28,1.06B,3.09,9.54,8.89
"ATHN",7.53,4.29,2.77,4.51B,11.25,114.53,120.25
"ARAY",7.73,1.04,0.10,396.21M,14.39,5.05,5.35
"ATI",1.21,0.58,-0.91,1.78B,9.32,16.30,16.03
"ARB",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ATK",N/A,N/A,0,N/A,0,N/A,0
"ARBA",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"ATLO",1.84,6.60,0.00,310.95M,11.82,33.65,27.77
"ARC",1.50,0.54,1.79,228.95M,5.09,4.81,3.86
"ATMI",N/A,N/A,0,N/A,0,N/A,0
"ARCC",N/A,N/A,3.68,N/A,0.00,15.87,15.31
"ATML",N/A,N/A,0.00,N/A,0.00,8.14,8.21
"ATNI",1.86,3.04,34.16,1.27B,5.97,77.41,70.99
"AZO",N/A,2.12,1.50,22.86B,8.42,794.72,770.46
"ATO",2.23,2.30,2.88,7.70B,2.50,74.16,74.86
"AZPN",N/A,8.87,2.28,4.21B,7.34,54.24,45.49
"ATPG",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AZZ",3.28,1.87,2.18,1.67B,4.51,64.40,61.47
"ATR",3.55,1.95,2.71,4.63B,6.97,72.93,76.67
"B",2.18,2.20,2.82,2.65B,2.71,48.80,39.47
"ATRC",3.55,4.12,-0.84,616.58M,13.43,18.54,16.30
"BA",45.78,1.01,2.14,96.39B,5.50,154.50,136.16
"ATRI",5.72,6.38,0.00,906.35M,5.36,499.05,445.61
"BABY",2.76,3.02,1.05,1.13B,5.13,34.85,39.25
"ATRO",3.23,1.67,2.72,1.09B,3.23,36.62,35.19
"BAC",0.94,2.99,1.43,236.41B,0.98,22.66,16.18
"ATSG",2.98,1.32,55.14,965.60M,2.95,16.15,14.37
"BAGL",N/A,N/A,0,N/A,0,N/A,20
"ATU",3.15,1.43,2.27,1.66B,10.99,27.85,24.26
"BAH",10.49,0.98,2.31,5.44B,2.24,36.34,31.41
"ATVI",3.07,4.56,0.80,27.22B,2.05,36.47,40.78
"BALT",N/A,N/A,0.00,N/A,0.00,1.50,1.60
"ATW",0.27,0.89,0.27,882.00M,5.92,13.46,9.77
"BANF",2.04,4.81,2.05,1.43B,2.82,90.25,70.26
"ATX",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BANRD",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AUMN",7.0857,8.4904,0.0000,55.83M,9.1700,0.6448,0.7272
"BARI",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AUXL",N/A,N/A,0,N/A,0,N/A,34
"BAS",N/A,0.032,0.000,17.00M,1.000,0.434,0.861
"AVA",1.61,1.83,3.47,2.58B,5.90,40.77,41.72
"BAX",2.80,2.40,1.71,24.28B,2.28,44.72,46.46
"AVAV",1.80,2.63,-4.47,644.45M,12.05,27.26,26.95
"BBBB",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AVB",2.37,11.77,56.96,24.00B,3.96,172.93,174.20
"BBBY",2.73,0.58,1.77,6.99B,6.22,47.27,43.97
"AVD",2.01,1.81,2.15,559.31M,6.97,19.00,16.13
"BBG",0.78,2.43,-0.23,410.86M,3.83,6.73,6.29
"AVEO",12.1319,7.2263,0.0000,41.13M,3.3600,0.5702,0.8517
"BBND",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AVGO",3.76,5.36,0.85,71.82B,1.68,178.42,167.41
"BBNK",N/A,N/A,0.00,N/A,0.00,N/A,25.33
"AVID",N/A,0.33,0.17,176.31M,2.59,4.32,6.67
"BBOX",1.59,0.26,1.59,243.13M,9.09,15.45,13.76
"AVII",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BBRG",1.20,0.15,2.41,58.90M,5.57,4.15,5.66
"AVNR",N/A,N/A,0,N/A,0,N/A,15
"BBSI",7.36,0.56,0.00,458.63M,1.88,63.41,46.67
"AVNW",1.40,0.30,0.00,73.02M,1.02,14.02,9.00
"BBT",1.40,3.78,3.04,38.02B,2.31,46.59,38.73
"AVP",N/A,0.41,0.14,2.45B,3.34,5.33,5.18
"BBW",2.34,0.62,0.66,232.23M,13.51,14.90,12.80
"AVT",1.28,0.24,2.42,6.17B,3.11,48.01,42.15
"BBY",3.45,0.37,1.15,14.61B,4.89,47.00,37.03
"AVTR",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BC",3.41,1.11,1.05,4.93B,3.29,54.52,47.88
"AVX",1.20,2.13,2.52,2.66B,5.35,15.71,14.03
"BCO",5.68,0.71,2.10,2.09B,2.08,42.55,35.60
"AVY",6.16,1.07,1.68,6.34B,4.25,71.94,74.86
"BCPC",5.13,4.86,1.44,2.62B,10.30,83.46,69.90
"AWH",1.10,1.49,-1.40,4.50B,1.43,45.77,40.92
"BCR",9.44,4.50,1.87,16.20B,2.30,221.03,221.87
"AWI",9.06,0.97,1.00,2.39B,9.03,42.45,41.10
"BCRX",114.63,20.78,-0.34,505.24M,8.22,6.19,4.22
"AWK",2.48,3.95,3.38,13.05B,4.41,72.88,75.94
"BCSI",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"AWR",3.35,3.74,6.39,1.67B,6.12,44.94,41.22
"BDC",2.30,1.38,3.75,3.27B,7.65,76.89,68.71
"AXAS",14.65,7.85,-1.42,340.64M,3.80,2.52,1.52
"BDE",N/A,N/A,-15.33,N/A,0.00,5.75,4.93
"AXE",2.10,0.35,-6.60,2.66B,2.23,80.60,63.99
"BDGE",1.79,5.03,0.00,655.82M,7.54,37.85,29.95
"AXL",2.74,0.36,29.60,1.42B,2.64,18.60,16.56
"BDN",1.44,5.06,5.92,2.79B,3.11,15.70,15.84
"AXP",3.27,2.25,1.94,68.23B,4.15,75.00,65.60
"BDX",4.69,2.85,1.70,35.40B,2.47,167.75,172.40
"AXS",1.05,1.42,3.05,5.76B,3.36,63.90,56.57
"BEAT",6.30,3.12,0.00,654.96M,1.75,21.20,18.49
"AXTI",1.15,1.91,3.36,154.60M,0.47,4.70,4.37
"BEAV",31.69,2.12,1.71,6.10B,5.60,59.67,51.64
"AYI",6.48,3.27,1.14,10.64B,5.08,248.16,255.21
"BEBE",0.37,0.12,0.00,43.24M,19.68,5.66,0.82
"AYR",0.93,2.15,2.01,1.66B,8.56,21.10,20.96
"BEC",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BECN",2.14,0.69,1.36,2.89B,3.78,47.36,44.65
"BLKB",12.84,4.22,1.63,3.03B,10.12,64.74,65.86
"BEE",N/A,N/A,0,N/A,0,N/A,14
"BLL",3.61,1.59,2.51,13.38B,7.08,76.66,76.20
"BELFB",2.13,0.67,0.00,376.49M,5.57,28.95,23.01
"BLT",N/A,N/A,0.00,N/A,0.00,10.00,10.00
"BEN",1.88,3.38,-3.18,22.62B,2.44,39.28,35.77
"BLTI",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BEXP",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BLUD",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BF.B",N/A,N/A,N/A,N/A,N/A,N/A,N/A
"BLX",1.16,8.09,1.78,1.14B,8.80,29.82,27.87
"BFIN",1.38,5.17,4.80,281.07M,8.50,14.97,12.76
"BMC",N/A,N/A,0,N/A,0,N/A,3511
"BFS",10.53,6.68,0.00,1.43B,3.32,66.43,63.64
"BMI",4.34,2.76,2.22,1.11B,5.34,37.65,34.80
